Borough;City;Neighbourhood;Street;available;building_material;building_type;construction_status;district;equipment_dishwasher;equipment_fridge;equipment_oven;equipment_stove;equipment_tv;equipment_washing_machine;extras_air_conditioning;extras_balcony;extras_basement;extras_furniture;extras_garage;extras_garden;extras_lift;extras_separate_kitchen;extras_swimming_pool;extras_terrace;extras_two_storey;extras_usable_room;heating;latitude;link;longitude;market;media_cable-television;media_internet;media_phone;orig_street;ownership;page_views;price;price_currency;publicated;rent;rooms;security_alarm;security_anti_burglary_door;security_closed_area;security_entryphone;security_monitoring;security_roller_shutters;security_security;surface;updated;window;year_of_construction;Neighbourhood_filled;appartment_floor_no;building_floor_no;price_per_sqm;age;age_mean;age_mode;age_median;age_random;Id
wola;warszawa;mirów;ogrodowa;.;brick;tenement;ready_to_use;.;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;urban;52.2395214;https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-sprzedaz-warszawa-ogrodowa-ID3JsPG.html;20.9924511;secondary;1;1;0;True;full_ownership;998;535000.0;PLN;15;780.0;2;0;0;0;0;0;0;0;49;1;plastic;1950;mirów;1;5;10918.367346938776;69.0;69.0;69.0;69.0;69.0;55164604
ursynów;warszawa;kabaty;relaksowa;.;missing;block;missing;.;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;missing;52.13785;https://www.otodom.pl/oferta/mieszkanie-72-90-m-warszawa-ID3LqXS.html;21.02912;secondary;0;0;0;False;cooperative_ownership;147;599000.0;PLN;3;.;3;0;0;0;0;0;0;0;73;3;missing;2000;kabaty;2;3;8205.479452054795;19.0;19.0;19.0;19.0;19.0;55634080
praga pó³noc;warszawa;.;.;.;missing;tenement;missing;.;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;missing;52.2633;https://www.otodom.pl/oferta/mieszkanie-64-28-m-warszawa-ID3KoEo.html;21.02832;primary;0;0;0;False;full_ownership;312;587928.0;PLN;15;.;3;0;0;0;1;0;0;0;64;6;missing;2020;praga pó³noc;3;6;9186.375;0.0;0.0;0.0;0.0;0.0;55386856
ursus;warszawa;skorosze;dzieci warszawy;.;brick;apartment;ready_to_use;.;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;gas;52.191683;https://www.otodom.pl/oferta/mieszkanie-40-90-m-warszawa-ID3KNVv.html;20.908638;secondary;1;1;0;True;full_ownership;365;339000.0;PLN;12;250.0;1;0;0;0;0;0;0;0;41;5;wooden;2001;skorosze;1;2;8268.292682926829;18.0;18.0;18.0;18.0;18.0;55484080
œródmieœcie;warszawa;œródmieœcie po³udniowe;aleja niepodleg³oœci;2018-08-16;brick;tenement;to_renovation;.;1;1;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;urban;52.218573122834385;https://www.otodom.pl/oferta/klimatyczny-apartament-w-przedwojennej-kamienicy-ID3K2r6.html;21.004537528991694;secondary;1;1;1;False;cooperative_ownership;1091;2200000.0;PLN;15;900.0;4;0;0;0;1;0;0;0;124;3;plastic;1923;œródmieœcie po³udniowe;3;4;17741.935483870966;96.0;96.0;96.0;96.0;96.0;55301464
wilanów;warszawa;wilanów wysoki;na³êczowska;.;other;block;ready_to_use;.;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;missing;52.175693952705444;https://www.otodom.pl/oferta/3-pokojowy-apartament-na-mokotowie-ID3Ksje.html;21.062904092559815;secondary;0;0;0;True;missing;299;798490.0;PLN;15;.;3;0;0;1;1;1;0;0;104;15;missing;.;wilanów wysoki;2;3;7677.788461538462;.;23.0;1.0;23.0;7.0;55400920
targówek;warszawa;bródno;palestyñska;.;brick;block;ready_to_use;.;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;urban;52.23614;https://www.otodom.pl/oferta/polecam-ID3JUS0.html;21.00817;secondary;1;1;1;True;cooperative_ownership_with_mortgage_register;408;368000.0;PLN;15;.;2;0;0;0;0;0;0;0;55;15;missing;1999;bródno;2;3;6690.909090909091;20.0;20.0;20.0;20.0;20.0;55272380
bia³o³êka;warszawa;kobia³ka;ostródzka;.;missing;block;to_completion;.;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;missing;52.3258294;https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-z-oddzielna-kuchnia-ID3KGM4.html;21.0485453;secondary;0;0;0;True;full_ownership;148;374000.0;PLN;14;.;3;0;1;1;1;1;0;0;69;7;missing;2018;kobia³ka;1;2;5420.289855072464;1.0;1.0;1.0;1.0;1.0;55456524
wola;warszawa;.;.;.;missing;apartment;missing;.;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;urban;52.235895;https://www.otodom.pl/oferta/w-pelni-wyposazone-w-wysokim-standardzie-metro-ID3JONe.html;20.95925;secondary;0;0;0;False;missing;400;537000.0;PLN;15;220.0;2;0;0;0;0;0;0;0;42;15;plastic;2012;wola;7;12;12785.714285714286;7.0;7.0;7.0;7.0;7.0;55249020
ochota;warszawa;.;.;.;missing;apartment;to_completion;.;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;urban;52.20997;https://www.otodom.pl/oferta/nowosc-ustawna-kawalerka-29m2-balkon-skm-wkd-ID3K4CY.html;20.96727;primary;1;1;0;False;full_ownership;334;271700.0;PLN;15;.;1;0;0;1;1;1;0;0;29;15;plastic;.;ochota;5;8;9368.965517241379;1.0;1.0;1.0;1.0;1.0;55309888
