address;available;building_material;building_type;construction_status;district;equipment_dishwasher;equipment_fridge;equipment_oven;equipment_stove;equipment_tv;equipment_washing_machine;extras_air_conditioning;extras_balcony;extras_basement;extras_furniture;extras_garage;extras_garden;extras_lift;extras_separate_kitchen;extras_swimming_pool;extras_terrace;extras_two_storey;extras_usable_room;floor_num;heating;id;latitude;link;longitude;market;media_cable-television;media_internet;media_phone;ownership;page_views;price;price_currency;publicated;rent;rooms;security_alarm;security_anti_burglary_door;security_closed_area;security_entryphone;security_monitoring;security_roller_shutters;security_security;surface;updated;window;year_of_construction
Warszawa, Wola, Ogrodowa;.;brick;tenement;ready_to_use;Wola;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1 (z 5);urban;55164604;52.2395214;https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-sprzedaz-warszawa-ogrodowa-ID3JsPG.html;20.9924511;secondary;1;1;0;full_ownership;998;535000;PLN;ponad 14 dni temu;780 z³;2;0;0;0;0;0;0;0;49.16;09.09.2018;plastic;1950
Warszawa, Ursynów, Relaksowa-Kabaty;.;.;block;.;Ursynów;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2 (z 3);.;55634080;52.13785;https://www.otodom.pl/oferta/mieszkanie-72-90-m-warszawa-ID3LqXS.html;21.02912;secondary;0;0;0;cooperative_ownership;147;599000;PLN;07.09.2018;.;3;0;0;0;0;0;0;0;72.9;07.09.2018;.;2000
Warszawa, Praga-Pó³noc, ZAMIESZKAJ NA PRADZE OBOK METRA!;.;.;tenement;.;Praga-Pó³noc;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3 (z 6);.;55386856;52.2633;https://www.otodom.pl/oferta/mieszkanie-64-28-m-warszawa-ID3KoEo.html;21.02832;primary;0;0;0;full_ownership;312;587928;PLN;ponad 14 dni temu;.;3;0;0;0;1;0;0;0;64.28;04.09.2018;.;2020
Warszawa, Skorosze, Dzieci Warszawy;.;brick;apartment;ready_to_use;Skorosze;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1 (z 2);gas;55484080;52.191683;https://www.otodom.pl/oferta/mieszkanie-40-90-m-warszawa-ID3KNVv.html;20.908638;secondary;1;1;0;full_ownership;365;339000;PLN;29.08.2018;250 z³;1;0;0;0;0;0;0;0;40.9;05.09.2018;wooden;2001
Warszawa, Œródmieœcie, Al. Niepodleg³oœci 225;16 Sierpnia 2018;brick;tenement;to_renovation;Œródmieœcie;1;1;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;3 (z 4);urban;55301464;52.218573122834385;https://www.otodom.pl/oferta/klimatyczny-apartament-w-przedwojennej-kamienicy-ID3K2r6.html;21.004537528991694;secondary;1;1;1;cooperative_ownership;1091;2200000;PLN;ponad 14 dni temu;900 z³;4;0;0;0;1;0;0;0;124;07.09.2018;plastic;1923
Warszawa, Mokotów,  Na³êczowska;.;other;block;ready_to_use;Mokotów;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;2 (z 3);.;55400920;52.175693952705444;https://www.otodom.pl/oferta/3-pokojowy-apartament-na-mokotowie-ID3Ksje.html;21.062904092559815;secondary;0;0;0;.;299;798490;PLN;ponad 14 dni temu;.;3;0;0;1;1;1;0;0;103.7;ponad 14 dni temu;.;.
Warszawa, Targówek, Palestyñska;.;brick;block;ready_to_use;Targówek;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2 (z 3);urban;55272380;52.23614;https://www.otodom.pl/oferta/polecam-ID3JUS0.html;21.00817;secondary;1;1;1;cooperative_ownership_with_mortgage_register;408;368000;PLN;ponad 14 dni temu;.;2;0;0;0;0;0;0;0;55;ponad 14 dni temu;.;1999
Warszawa, Lewandów;.;.;.;.;Lewandów;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1 (z 1);.;55257536;52.31692;https://www.otodom.pl/oferta/ostatnie-mieszkanie-160-m2-z-garazem-ID3JR0A.html;21.10224;primary;0;0;0;.;602;469000;PLN;ponad 14 dni temu;.;5;0;0;0;0;0;0;0;160;ponad 14 dni temu;.;2017
Warszawa, Bia³o³êka, Ostródzka;.;.;block;to_completion;Bia³o³êka;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1 (z 2);.;55456524;52.3258294;https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-z-oddzielna-kuchnia-ID3KGM4.html;21.0485453;secondary;0;0;0;full_ownership;148;374000;PLN;27.08.2018;.;3;0;1;1;1;1;0;0;69.25;03.09.2018;.;2018
Warszawa, Mirów;.;.;apartment;.;Mirów;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;6 (z 7);.;55223024;52.23914;https://www.otodom.pl/oferta/klimatyzowany-apartament-przy-ul-chlodnej-ID3JI1V.html;20.9958;secondary;0;0;0;full_ownership;348;890000;PLN;ponad 14 dni temu;450 z³;2;0;0;0;0;1;0;0;59.1;08.09.2018;wooden;2007
