Item;Key;Match;id
street;cybernetyki;cybernetyki;0
street;jana kochanowskiego;kochanowskiego jana;1
street;józefa balcerzaka;balcerzaka józefa;2
street;renesansowa;renensansowa;3
street;jana kochanowskiego 14 a;kochanowskiego jana;4
street;kasprowicza;kasprowicza jana;5
street;williama szekspira;szekspira williama;6
street;stefana ¿eromskiego;¿eromskiego stefana;7
street;bogus³awskiego;bogus³awskiego wojciecha;8
street;jana kasprowicza;kasprowicza jana;9
street;aleja s³owiañska;s³owiañska;10
street;antoniego magiera;magiera antoniego;11
street;zbigniewa romaszewskiego;romaszewskiego zbigniewa;12
street;aleja w³adys³awa reymonta ;reymonta w³adys³awa;13
street;wojciecha bogus³awskiego;bogus³awskiego wojciecha;14
street;leopolda staffa;staffa leopolda;15
street;romaszewskiego;romaszewskiego zbigniewa;16
street;w³adys³awa stanis³awa reymonta;reymonta w³adys³awa;17
street;kochanowskiego;kochanowskiego jana;18
street;duracza teodora;teodora duracza;19
street;dani³owskiego;dani³owskiego gustawa;20
street;zjednoczenia;zjednoczenia aleja;21
street;""""""""""""""" zgrupowania ak """"""""""""""""¿mija""""""""""""""""""""""""""""""";zgrupowania ak ¿mija;22
street;aleja w³adys³awa reymonta;reymonta w³adys³awa;23
street;w³adys³awa smoleñskiego;smoleñskiego w³adys³awa;24
street;micha³a oczapowskiego;oczapowskiego micha³a;25
street;przybyszewskiego;stanis³awa przybyszewskiego;26
street;¿eromskiego;¿eromskiego stefana;27
street;s³odowiec;s³odowiec;28
street;poli gojawiczyñskiej;gojawiczyñskiej poli;29
street;adama mickiewicza;mickiewicza adama;30
street;hanki czaki;czaki hanki;31
street;ludwika rydygiera;rydygiera ludwika;32
street;zygmunta krasiñskiego;krasiñskiego zygmunta;33
street;jana kozietulskiego;kozietulskiego jana leona;34
street;ks. teofila boguckiego;boguckiego teofila;35
street;stanis³awa to³wiñskiego;to³wiñskiego stanis³awa;36
street;kaliny jêdrusik;jêdrusik kaliny;37
street;3 oddzielna sady ¿oliborskie;sady ¿oliborskie;38
street;juliusza s³owackiego;s³owackiego juliusza;39
street;rafa³a krajewskiego;krajewskiego rafa³a;40
street;krasiñskiego;krasiñskiego zygmunta;41
street;kajetana koŸmiana;koŸmiana kajetana;42
street;henryka dembiñskiego;dembiñskiego henryka;43
street;ludwikaka rydygiera;rydygiera ludwika;44
street;gojawiczyñskiej;gojawiczyñskiej poli;45
street;mickiewicza;mickiewicza adama;46
street;ludwika kondratowicza;kondratowicza ludwika;47
street;szymona askenazego;askenazego szymona;48
street;tadeusza korzona;korzona tadeusza;49
street;piotra skargi;ks. piotra skargi;50
street;w³adys³awa syrokomli;syrokomli w³adys³awa;51
street;piotra wysockiego;wysockiego piotra;52
street;micha³a ossowskiego;ossowskiego micha³a;53
street;kondratowicza;kondratowicza ludwika;54
street;aleksandra gajkowicza;gajkowicza aleksandra;55
street;wac³awa tokarza;tokarza wac³awa;56
street;trocka;trocka;57
street;heleny junkiewicz;junkiewicz heleny;58
street;oskara sosnowskiego;sosnowskiego oskara;59
